Mes,SemanaDelMes,DiaDeLaSemana,MarcaVehiculo,AreaAccidente,DiaReclamo,MesReclamo,SemanaReclamo,Genero,EstadoCivil,Edad,Culpa,TipoPoliza,CategoriaVehiculo,PrecioVehiculo,FraudeDetectado,NumeroPoliza,NumeroRepresentante,Deducible,CalificacionConductor,DiasPolizaAccidente,DiasPolizaReclamo,NumeroReclamosAnteriores,EdadVehiculo,EdadAsegurado,ReportePolicial,TestigoPresente,TipoAgente,NumeroSuplementos,CambioDireccionReclamo,NumeroVehiculos,Año,PolizaBase
Enero,3.0,Miércoles,Honda,Urbano,Monday,Jan,4.0,Masculino,Soltero,34.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,2,15,400,4,more than 30,more than 30,none,6 years,31 to 35,Sí,No,External,none,no change,1 vehicle,1994.0,Collision
Noviembre,1.0,Viernes,Honda,Urbano,Tuesday,Mar,4.0,Masculino,Soltero,0.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,8,1,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994.0,Collision
Abril,3.0,Martes,Ford,Urbano,Wednesday,Apr,3.0,Masculino,Casado,42.0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,10,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994.0,All Perils
Enero,3.0,Viernes,Ford,Urbano,Friday,Jan,3.0,Masculino,Casado,28.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13,11,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994.0,Liability
Agosto,4.0,Martes,Ford,Urbano,Monday,Aug,5.0,Masculino,Soltero,38.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,16,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994.0,Liability
Julio,5.0,Domingo,Chevrolet,Urbano,Wednesday,Aug,1.0,Femenino,Casado,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,18,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
Abril,4.0,Lunes,Honda,Urbano,Tuesday,May,1.0,Masculino,Casado,30.0,Third Party,Sedan - Liability,Sport,more than 69000,0,20,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Abril,2.0,Viernes,Mazda,Urbano,Tuesday,May,1.0,Masculino,Casado,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,21,3,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994.0,Liability
Enero,2.0,Sábado,Chevrolet,Urbano,Monday,Jan,2.0,Masculino,Casado,47.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,22,13,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994.0,Collision
Agosto,3.0,Domingo,Mazda,Urbano,Thursday,Aug,5.0,Masculino,Casado,63.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,23,8,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994.0,Liability
Octubre,2.0,Martes,Honda,Urbano,Thursday,Oct,3.0,Masculino,Casado,30.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,37,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994.0,Collision
Julio,1.0,Lunes,Toyota,Urbano,Monday,Jul,1.0,Femenino,Soltero,42.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,43,12,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994.0,Liability
Junio,4.0,Martes,Pontiac,Urbano,Tuesday,Jun,4.0,Masculino,Soltero,45.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,55,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994.0,Collision
